rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,period
p_A,0.046209812037329684,1106.5748689155964,0.010164099477342512,Islamic,domestic_active,126.52032520325203,late
alpha,0.10476810990372903,1106.430036430722,-0.0029255892424182484,Islamic,domestic_active,126.52032520325203,late
d,0.0038329373048306354,1083.0107007937136,-2.119521281003615,Islamic,domestic_active,126.52032520325203,late
r,0.0022445631668688293,969.9954284744256,1.0101010100282253,Islamic,domestic_PIs,126.52032520325203,late
I0,2.1554438508323224,969.8984289322766,0.9999999999999568,Islamic,domestic_PIs,126.52032520325203,late
p_D,0.027031007207210953,962.4053411501378,0.21971018467449965,Islamic,domestic_PIs,126.52032520325203,late
h_D,0.1013662770270411,960.5821482235344,0.029852690225666584,Islamic,domestic_PIs,126.52032520325203,late
p_A,0.046209812037329684,960.4906849649263,0.02032819895539377,Islamic,domestic_PIs,126.52032520325203,late
h_A,0.25993019270997947,960.4523206787355,0.016333148762831123,Islamic,domestic_PIs,126.52032520325203,late
alpha,0.10476810990372903,960.4300330474581,0.014012234848681233,Islamic,domestic_PIs,126.52032520325203,late
beta,0.13862943611198905,960.2656583590789,-0.003104860128549233,Islamic,domestic_PIs,126.52032520325203,late
d,0.0038329373048306354,938.683816119214,-2.250521704205684,Islamic,domestic_PIs,126.52032520325203,late
r,0.0033969280164001248,680.5786241224132,1.0101010100939574,Other Civilizations,domestic_active,104.59615384615385,late
I0,1.6564758826174664,680.5105662600484,0.9999999999999962,Other Civilizations,domestic_active,104.59615384615385,late
p_D,0.014876236754280648,675.3445299980134,0.23326736080956748,Other Civilizations,domestic_active,104.59615384615385,late
h_D,0.06385320297074884,674.1211997106958,0.05170315718798619,Other Civilizations,domestic_active,104.59615384615385,late
h_A,0.17328679513998632,673.8681081389306,0.014139818695278205,Other Civilizations,domestic_active,104.59615384615385,late
beta,0.13862943611198905,673.8444434409955,0.010627552156091317,Other Civilizations,domestic_active,104.59615384615385,late
p_A,0.019178804830118728,673.8367827301796,0.009490564972101767,Other Civilizations,domestic_active,104.59615384615385,late
alpha,0.047947012075296815,673.7569977218574,-0.002350964373771977,Other Civilizations,domestic_active,104.59615384615385,late
d,0.004833965388312767,658.5071210211186,-2.265706778581714,Other Civilizations,domestic_active,104.59615384615385,late
r,0.0033969280164001248,492.56503350971246,1.0101010100939496,Other Civilizations,domestic_PIs,104.59615384615385,late
I0,1.6564758826174664,492.51577700639587,0.9999999999999891,Other Civilizations,domestic_PIs,104.59615384615385,late
p_D,0.014876236754280648,489.9143902134563,0.46653472162072024,Other Civilizations,domestic_PIs,104.59615384615385,late
h_D,0.06385320297074884,488.0324720729194,0.0806105724502555,Other Civilizations,domestic_PIs,104.59615384615385,late
h_A,0.17328679513998632,487.75730570595044,0.02418232312027697,Other Civilizations,domestic_PIs,104.59615384615385,late
